id,Артикул,Имя,Краткое описание,Описание,Базовая цена,Категории,Изображения
79,142-1601090*,Диск сцепления нажимной Камаз (корзина) усиленная,"Диск сцепления – это самый важный элемент, который способствует созданию возможности движения автомобиля. Он требуется для того, чтобы временно отсоединять мотор от возможности движения и потом обратно соединять. Диск сцепления нажимной выполнен в виде кольца, у которого одна сторона гладкая. Нажимной диск крепится к кожуху сцепления (соединяется с двигателем), который крепится болтами к маховику, и поэтому они вращаются вместе. Диск сцепления состоит из самого диска с пружинными пластинами, а также двух износостойких накладок, которые соединены с ним независимо друг от друга с помощью заклёпок. Артикул - 142-1601090 Артикул аналога — 142.1601090-10Дополнительное описание - Корзина сцепления Камаз-ЕВРОШтампованный на ПРЗ кожух, кованные на ""К-Металургии"" рычаги. Двойные нажимные пружины. Дисбаланс в сборе не превышает 150 г•см.Применение:Применяется в механизмах сцепления автомобиля 	Камаз-4326 	Камаз-5315 	Камаз-65115 	Камаз-5297 	Камаз-43114 	Камаз-4326 	Камаз 740.31-240 (Евро-2) 	Камаз-53228, 65111 	Ширина, м - 0.412 	Высота, м 0.104 	Длина, м - 0.412 	Вес, кг - 25","Диск сцепления – это самый важный элемент, который способствует созданию возможности движения автомобиля. Он требуется для того, чтобы временно отсоединять мотор от возможности движения и потом обратно соединять. Диск сцепления нажимной выполнен в виде кольца, у которого одна сторона гладкая. Нажимной диск крепится к кожуху сцепления (соединяется с двигателем), который крепится болтами к маховику, и поэтому они вращаются вместе. Диск сцепления состоит из самого диска с пружинными пластинами, а также двух износостойких накладок, которые соединены с ним независимо друг от друга с помощью заклёпок. Артикул - 142-1601090 Артикул аналога — 142.1601090-10Дополнительное описание - Корзина сцепления Камаз-ЕВРОШтампованный на ПРЗ кожух, кованные на ""К-Металургии"" рычаги. Двойные нажимные пружины. Дисбаланс в сборе не превышает 150 г•см.Применение:Применяется в механизмах сцепления автомобиля 	Камаз-4326 	Камаз-5315 	Камаз-65115 	Камаз-5297 	Камаз-43114 	Камаз-4326 	Камаз 740.31-240 (Евро-2) 	Камаз-53228, 65111 	Ширина, м - 0.412 	Высота, м 0.104 	Длина, м - 0.412 	Вес, кг - 25",3600,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/Korzina-141-scaled.jpg
80,142-1601090,Диск сцепления нажимной Камаз (корзина) усиленная новая,"Диск сцепления – это самый важный элемент, который способствует созданию возможности движения автомобиля. Он требуется для того, чтобы временно отсоединять мотор от возможности движения и потом обратно соединять. Диск сцепления нажимной выполнен в виде кольца, у которого одна сторона гладкая. Нажимной диск крепится к кожуху сцепления (соединяется с двигателем), который крепится болтами к маховику, и поэтому они вращаются вместе. Диск сцепления состоит из самого диска с пружинными пластинами, а также двух износостойких накладок, которые соединены с ним независимо друг от друга с помощью заклёпок. Артикул - 142-1601090 Артикул аналога — 142.1601090-10Дополнительное описание - Корзина сцепления Камаз-ЕВРОШтампованный на ПРЗ кожух, кованные на ""К-Металургии"" рычаги. Двойные нажимные пружины. Дисбаланс в сборе не превышает 150 г•см.Применение:Применяется в механизмах сцепления автомобиля 	Камаз-4326 	Камаз-5315 	Камаз-65115 	Камаз-5297 	Камаз-43114 	Камаз-4326 	Камаз 740.31-240 (Евро-2) 	Камаз-53228, 65111 	Ширина, м - 0.412 	Высота, м 0.104 	Длина, м - 0.412 	Вес, кг - 25","Диск сцепления – это самый важный элемент, который способствует созданию возможности движения автомобиля. Он требуется для того, чтобы временно отсоединять мотор от возможности движения и потом обратно соединять. Диск сцепления нажимной выполнен в виде кольца, у которого одна сторона гладкая. Нажимной диск крепится к кожуху сцепления (соединяется с двигателем), который крепится болтами к маховику, и поэтому они вращаются вместе. Диск сцепления состоит из самого диска с пружинными пластинами, а также двух износостойких накладок, которые соединены с ним независимо друг от друга с помощью заклёпок. Артикул - 142-1601090 Артикул аналога — 142.1601090-10Дополнительное описание - Корзина сцепления Камаз-ЕВРОШтампованный на ПРЗ кожух, кованные на ""К-Металургии"" рычаги. Двойные нажимные пружины. Дисбаланс в сборе не превышает 150 г•см.Применение:Применяется в механизмах сцепления автомобиля 	Камаз-4326 	Камаз-5315 	Камаз-65115 	Камаз-5297 	Камаз-43114 	Камаз-4326 	Камаз 740.31-240 (Евро-2) 	Камаз-53228, 65111 	Ширина, м - 0.412 	Высота, м 0.104 	Длина, м - 0.412 	Вес, кг - 25",5700,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/Korzina-14-1-1-scaled.jpg
81,182-1601090,"Диск сцепления нажимной в сборе (корзина лепестковая )МАЗ,УРАЛ,КРАЗ","Диск сцепления нажимной в сборе (корзина лепестковая )МАЗ,УРАЛ,КРАЗ","Диск сцепления нажимной в сборе (корзина лепестковая )МАЗ,УРАЛ,КРАЗ",6500,"3, 2, 4",https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200318_090242-scaled.jpg
82,184-1601090,"Диск сцепления нажимной в сборе (корзина лепестковая )МАЗ,УРАЛ,КРАЗ","Диск сцепления нажимной в сборе (корзина лепестковая 184 )МАЗ,УРАЛ,КРАЗ","Диск сцепления нажимной в сборе (корзина лепестковая 184 )МАЗ,УРАЛ,КРАЗ",6500,"3, 2, 4",https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG-20200120-WA0010.jpg
83,238-1601090*,"Диск сцепления нажимной в сборе (корзина 238 старого образца) МАЗ,УРАЛ,КРАЗ","Диск сцепления нажимной в сборе (корзина старого образца 238) МАЗДиск сцепления нажимной в сборе (корзина 238 старого образца) МАЗ,УРАЛ,КРАЗ","Диск сцепления ведущий(корзина) (20пружин) рычажнаяДиск сцепления нажимной в сборе (корзина 238 старого образца) МАЗ,УРАЛ,КРАЗ",5500,"3, 2, 4",https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG-20200120-WA0032.jpg
84,14-1703204,Опора рычага коробки переключения передач КУЛИСА (КПП) КАМАЗ без лома,"Опора рычага коробки переключения передач (КПП) КАМАЗ в сборе Артикул - 14-1703204 Альтернативные описания - Опора КАМАЗ рычага переключения передач в сборе Применяется для трансмиссии и коробки передач в моделях КАМАЗ-4310, КАМАЗ-4326, КАМАЗ-5320, КАМАЗ-53212, КАМАЗ-5410 Ширина, м - 0.4 Высота, м - 0.25 Длина, м - 0.75 Вес, кг - 11.5","Опора рычага коробки переключения передач (КПП) КАМАЗ в сборе Артикул - 14-1703204 Альтернативные описания - Опора КАМАЗ рычага переключения передач в сборе Применяется для трансмиссии и коробки передач в моделях КАМАЗ-4310, КАМАЗ-4326, КАМАЗ-5320, КАМАЗ-53212, КАМАЗ-5410 Ширина, м - 0.4 Высота, м - 0.25 Длина, м - 0.75 Вес, кг - 11.5",2950,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_1087-26-05-21-01-14.jpg
85,15-1703204*,Опора рычага коробки переключения передач КУЛИСА (КПП) КАМАЗ с ломом,,"Опора рычага коробки переключения передач (КПП) КАМАЗ в Артикул - 15-1703204 Альтернативные описания - Опора КАМАЗ рычага переключения передач в сборе Производитель: ПАО КАМАЗ Применяется для трансмиссии и коробки передач в моделях КАМАЗ-4310, КАМАЗ-4326, КАМАЗ-5320, КАМАЗ-53212, КАМАЗ-5410 Ширина, м - 0.4 Высота, м - 0.25 Длина, м - 0.75 Вес, кг - 11.5",4000,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200513_081055-scaled.jpg
86,14-1703204*,Опора рычага коробки переключения передач КУЛИСА (КПП) КАМАЗ с ломом,КУЛИСА (КПП) КАМАЗ с ломом,Опора рычага коробки переключения передач КУЛИСА (КПП) КАМАЗ с ломом,3200,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_1084-26-05-21-01-14.jpg
87,15-1771010,Механизм переключение делителя,"Механизм переключения передач (КАМАЗ). Механизм переключения передач - часть механической коробки передач, предназначена для выбора, включения и выключенияпередач. Артикул - 15-1771010 Дополнительное описание - Механизм переключения делителя передач Характеристики: Вес, кг 3,8","Механизм переключения передач (КАМАЗ). Механизм переключения передач - часть механической коробки передач, предназначена для выбора, включения и выключенияпередач. Артикул - 15-1771010 Дополнительное описание - Механизм переключения делителя передач Характеристики: Вес, кг 3,8",2250,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200318_091225-scaled.jpg
88,5320-2506010*,Дифференциал межосевой (МОД) Камаз квадратный фланец,"Применение:Камаз-43118Камаз-43261 (Евро-1, 2)Камаз-43118 (Евро 4)Камаз-43261 (Евро-1, 2)Камаз-43501 (4х4)Камаз-43261 (Евро-1, 2)Камаз-43501 (4х4)Камаз-53228Камаз-65111Камаз-43501 (4х4)Камаз-53229 (Евро 2)Камаз-65115Камаз-53229 (Евро 2)Камаз-65115Камаз-65115 (Евро-3)Камаз-65115, 65116 (Евро-4)Камаз-6540Камаз-65116Камаз-65115, 65116 (Евро-4)","Применение: 	Камаз-43118 	Камаз-43261 (Евро-1, 2) 	Камаз-43118 (Евро 4) 	Камаз-43261 (Евро-1, 2) 	Камаз-43501 (4х4) 	Камаз-43261 (Евро-1, 2) 	Камаз-43501 (4х4) 	Камаз-53228 	Камаз-65111 	Камаз-43501 (4х4) 	Камаз-53229 (Евро 2) 	Камаз-65115 	Камаз-53229 (Евро 2) 	Камаз-65115 	Камаз-65115 (Евро-3) 	Камаз-65115, 65116 (Евро-4) 	Камаз-6540 	Камаз-65116 	Камаз-65115, 65116 (Евро-4)",14000,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_1102-26-05-21-01-53.jpg
89,5320-2506010,Дифференциал межосевой (МОД) Камаз квадратный фланец новый,"Применение:Камаз-43118Камаз-43261 (Евро-1, 2)Камаз-43118 (Евро 4)Камаз-43261 (Евро-1, 2)Камаз-43501 (4х4)Камаз-43261 (Евро-1, 2)Камаз-43501 (4х4)Камаз-53228Камаз-65111Камаз-43501 (4х4)Камаз-53229 (Евро 2)Камаз-65115Камаз-53229 (Евро 2)Камаз-65115Камаз-65115 (Евро-3)Камаз-65115, 65116 (Евро-4)Камаз-6540Камаз-65116Камаз-65115, 65116 (Евро-4)","Применение: 	Камаз-43118 	Камаз-43261 (Евро-1, 2) 	Камаз-43118 (Евро 4) 	Камаз-43261 (Евро-1, 2) 	Камаз-43501 (4х4) 	Камаз-43261 (Евро-1, 2) 	Камаз-43501 (4х4) 	Камаз-53228 	Камаз-65111 	Камаз-43501 (4х4) 	Камаз-53229 (Евро 2) 	Камаз-65115 	Камаз-53229 (Евро 2) 	Камаз-65115 	Камаз-65115 (Евро-3) 	Камаз-65115, 65116 (Евро-4) 	Камаз-6540 	Камаз-65116 	Камаз-65115, 65116 (Евро-4)",,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_1099-26-05-21-01-53.jpg
90,53205-2506010*,Дифференциал межосевой (МОД) ЕВРО 4 или 8 отверстий  Камаз круглый фланец," 	Камаз-53212 	Камаз-43501 (4х4) 	Камаз-43261 (Евро-1, 2) 	Камаз-65115 (Евро-3) 	Камаз-53229 (Евро 2) 	Камаз-65115, 65116 (Евро-4) 	Камаз-43118 (Евро 4)","&nbsp; 	Камаз-53212 	Камаз-43501 (4х4) 	Камаз-43261 (Евро-1, 2) 	Камаз-65115 (Евро-3) 	Камаз-53229 (Евро 2) 	Камаз-65115, 65116 (Евро-4) 	Камаз-43118 (Евро 4)",20000,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200311_104100-scaled.jpg
91,53205-2506010**,Дифференциал межосевой (МОД) ЕВРО 4 или 8 отверстий  Камаз круглый фланец новый,"&nbsp; 	Камаз-53212 	Камаз-43501 (4х4) 	Камаз-43261 (Евро-1, 2) 	Камаз-65115 (Евро-3) 	Камаз-53229 (Евро 2) 	Камаз-65115, 65116 (Евро-4) 	Камаз-43118 (Евро 4)"," 	Камаз-53212 	Камаз-43501 (4х4) 	Камаз-43261 (Евро-1, 2) 	Камаз-65115 (Евро-3) 	Камаз-53229 (Евро 2) 	Камаз-65115, 65116 (Евро-4) 	Камаз-43118 (Евро 4)",,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/0839008a-7f15-4428-8d68-8f1bdf9c8bfd.jpg
92,6520-2506010,Дифференциал межосевой (МОД) Камаз-6520,"&nbsp; 	Камаз-6460 	Камаз-6520 	Камаз-6520 (Euro-2, 3) 	Камаз-6460 (Евро 3, 4) 	Камаз-6460 (Евро 4) 	Мадара / Мосты КамАЗ-6522 	Камаз-6522 	Камаз-6520 (Euro-2, 3) 	Камаз-6520 (Euro-4) 	Камаз-6522 (Евро-4) 	Камаз-6520 (Euro-4) 	Камаз-65226 	Камаз-6522 (Евро-4) 	Камаз-65226 	Длина: 179 мм 	Ширина: 179 мм 	Высота: 60 мм","&nbsp; 	Камаз-6460 	Камаз-6520 	Камаз-6520 (Euro-2, 3) 	Камаз-6460 (Евро 3, 4) 	Камаз-6460 (Евро 4) 	Мадара / Мосты КамАЗ-6522 	Камаз-6522 	Камаз-6520 (Euro-2, 3) 	Камаз-6520 (Euro-4) 	Камаз-6522 (Евро-4) 	Камаз-6520 (Euro-4) 	Камаз-65226 	Камаз-6522 (Евро-4) 	Камаз-65226 	Длина: 179 мм 	Ширина: 179 мм 	Высота: 60 мм",8500,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20190313_130801-scaled.jpg
93,5320-3414057,Наконечник рулевой тяги 5320 левый,,,700,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_0592-scaled.jpg
94,5320-3414056,Наконечник рулевой тяги 5320 правый,Наконечник рулевой тяги 5320 правый,Наконечник рулевой тяги 5320 правый,750,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/image-20-07-20-04-14-scaled.jpeg
95,740-1307010*,Насос водяной Камаз,"Применяется в двигателе в системе охлаждения автомобилей: 	Камаз-4310 	Камаз-4326 	Камаз-5315 	Камаз-5320 	Камаз-53212 	ЛАЗ 4207 	ЛиАЗ-5256 	Ширина, м - 0.28 	Высота, м - 0.25 	Длина, м - 0.22 	Вес, кг - 8.85","&nbsp;Применяется в двигателе в системе охлаждения автомобилей: 	Камаз-4310 	Камаз-4326 	Камаз-5315 	Камаз-5320 	Камаз-53212 	ЛАЗ 4207 	ЛиАЗ-5256 	Ширина, м - 0.28 	Высота, м - 0.25 	Длина, м - 0.22 	Вес, кг - 8.85",2100,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_0525.jpg
96,740-1307010,Насос водяной Камаз новый,"Применяется в двигателе в системе охлаждения автомобилей: 	Камаз-4310 	Камаз-4326 	Камаз-5315 	Камаз-5320 	Камаз-53212 	ЛАЗ 4207 	ЛиАЗ-5256 	Ширина, м - 0.28 	Высота, м - 0.25 	Длина, м - 0.22 	Вес, кг - 8.85","Применяется в двигателе в системе охлаждения автомобилей: 	Камаз-4310 	Камаз-4326 	Камаз-5315 	Камаз-5320 	Камаз-53212 	ЛАЗ 4207 	ЛиАЗ-5256 	Ширина, м - 0.28 	Высота, м - 0.25 	Длина, м - 0.22 	Вес, кг - 8.85&nbsp;",2800,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_0525.jpg
97,740.63-1307010,"Насос водяной Евро-3,4 КАМАЗ","/ КамАЗ-43502 (Евро 4) (2013)740.63-1307005 Установка водяного насоса / Насос водяной [740.63-1307010]740.63-1307010 Насос водяной / Корпус водяного насоса [7406.1307015-10]740.63-1307010 Насос водяной / Кольцо упорное [7406.1307017]740.63-1307010 Насос водяной / Крыльчатка водяного насоса [740.50-1307032]740.63-1307010 Насос водяной / Шкив водяного насоса [740.63-1307216]740.63-1307010 Насос водяной / Сальник водяного насоса SP/1341/1 [45104130701190]740.63-1307010 Насос водяной / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]/ КамАЗ-6460 (Евро 3, 4) (2013)740.63-1307005 Установка водяного насоса / Насос водяной [740.63-1307010]740.63-1307010 Насос водяной / Корпус водяного насоса [7406.1307015-10]740.63-1307010 Насос водяной / Кольцо упорное [7406.1307017]740.63-1307010 Насос водяной / Крыльчатка водяного насоса [740.50-1307032]740.63-1307010 Насос водяной / Шкив водяного насоса [740.63-1307216]740.63-1307010 Насос водяной / Сальник водяного насоса SP/1341/1 [45104130701090]/ КамАЗ-43118 (Евро 4) (2012)740.63-1307005 Установка водяного насоса / Насос водяной [740.63-1307010]740.63-1307010 Насос водяной / Корпус водяного насоса [7406.1307015-10]740.63-1307010 Насос водяной / Кольцо упорное [7406.1307017]740.63-1307010 Насос водяной / Крыльчатка водяного насоса [740.50-1307032]740.63-1307010 Насос водяной / Шкив водяного насоса [740.63-1307216]740.63-1307010 Насос водяной / Сальник водяного насоса SP/1341/1 [45104130701090]740.63-1307010 Насос водяной / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]/ КамАЗ-6460 (Евро 3, 4) (2013)740.63-1307010 Насос водяной / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]/ КамАЗ-6460 (Евро 4) (2013)740.63-1307005 Установка водяного насоса / Насос водяной [740.63-1307010]740.63-1307010 Насос водяной / Корпус водяного насоса [7406.1307015-10]740.63-1307010 Насос водяной / Кольцо упорное [7406.1307017]740.63-1307010 Насос водяной / Крыльчатка водяного насоса [740.50-1307032]740.63-1307010 Насос водяной / Шкив водяного насоса [740.63-1307216]740.63-1307010 Насос водяной / Сальник водяного насоса SP/1341/1 [45104130701190]740.63-1307010 Насос водяной / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]/ КамАЗ-65115 (Евро-3) (2013)740.63-1307005 Установка водяного насоса / Насос водяной [740.63-1307010]740.63-1307010 Насос водяной / Корпус водяного насоса [7406.1307015-10]740.63-1307010 Насос водяной / Кольцо упорное [7406.1307017]740.63-1307010 Насос водяной / Крыльчатка водяного насоса [740.50-1307032]740.63-1307010 Насос водяной / Шкив водяного насоса [740.63-1307216]740.63-1307010 Насос водяной / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]/ КамАЗ-65111 (Евро 4) (2012)740.63-1307005 Установка водяного насоса / Насос водяной [740.63-1307010]740.63-1307010 Насос водяной / Корпус водяного насоса [7406.1307015-10]740.63-1307010 Насос водяной / Кольцо упорное [7406.1307017]740.63-1307010 Насос водяной / Крыльчатка водяного насоса [740.50-1307032]740.63-1307010 Насос водяной / Шкив водяного насоса [740.63-1307216]740.63-1307010 Насос водяной / Сальник водяного насоса SP/1341/1 [45104130701090]740.63-1307010 Насос водяной / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]/ КамАЗ-6520 (Euro-2, 3) (2009)740.63-1307005 Установка водяного насоса / Насос водяной [740.63-1307010]740.63-1307010 Насос водяной / Корпус водяного насоса [7406.1307015-10]740.63-1307010 Насос водяной / Кольцо упорное [7406.1307017]740.63-1307010 Насос водяной / Крыльчатка водяного насоса [740.50-1307032]740.63-1307010 Насос водяной / Шкив водяного насоса [740.63-1307216]740.63-1307010 Насос водяной / Сальник водяного насоса SP/1341/1 [45104130701090]740.63-1307010 Насос водяной / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]/ КамАЗ-65115 (Евро-3) (2013)740.63-1307010 Насос водяной / Сальник водяного насоса SP/1341/1 [45104130701090]740.63-1307010 Насос водяной / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]/ КамАЗ-65201 Евро 2-3 (2016)740.63-1307005 Установка водяного насоса / Насос водяной [740.63-1307010]740.63-1307010 Насос водяной / Корпус водяного насоса [7406.1307015-10]740.63-1307010 Насос водяной / Кольцо упорное [7406.1307017]740.63-1307010 Насос водяной / Крыльчатка водяного насоса [740.50-1307032]740.63-1307010 Насос водяной / Сальник водяного насоса SP/1341/1 [45104130701090]740.63-1307010 Насос водяной / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]/ КамАЗ-6520 (Euro-4) (2016)740.63-1307005 Установка водяного насоса / Насос водяной [740.63-1307010]740.63-1307010 Насос водяной / Корпус водяного насоса [7406.1307015-10]740.63-1307010 Насос водяной / Кольцо упорное [7406.1307017]740.63-1307010 Насос водяной / Крыльчатка водяного насоса [740.50-1307032]740.63-1307010 Насос водяной / Шкив водяного насоса [740.63-1307216]740.63-1307010 Насос водяной / Сальник водяного насоса SP/1341/1 [45104130701190]740.63-1307010 Насос водяной / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]/ 740.60-360 (Евро 3) (2007)740.63-1307005 Установка водяного насоса / Насос водяной [740.63-1307010]740.63-1307010 Водяной насос / Корпус водяного насоса [7406.1307015-10]740.63-1307010 Водяной насос / Кольцо упорное [7406.1307017]740.63-1307010 Водяной насос / Крыльчатка водяного насоса [740.50-1307032]740.63-1307010 Водяной насос / Шкив водяного насоса [740.63-1307216]740.63-1307010 Водяной насос / Сальник водяного насоса SP/1341/1 [45104130701090]740.63-1307010 Водяной насос / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]/ КамАЗ-65201 Евро 2-3 (2016)740.63-1307010 Насос водяной / Шкив водяного насоса [740.63-1307216]740.63-1307010 Насос водяной / Сальник водяного насоса SP/1341/1 [45104130701090]740.63-1307010 Насос водяной / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]/ КамАЗ-6522 (Евро-4) (2016)740.63-1307005 Установка водяного насоса / Насос водяной [740.63-1307010]740.63-1307010 Насос водяной / Корпус водяного насоса [7406.1307015-10]740.63-1307010 Насос водяной / Кольцо упорное [7406.1307017]740.63-1307010 Насос водяной / Крыльчатка водяного насоса [740.50-1307032]740.63-1307010 Насос водяной / Шкив водяного насоса [740.63-1307216]740.63-1307010 Насос водяной / Сальник водяного насоса SP/1341/1 [45104130701190]740.63-1307010 Насос водяной / Подшипник 6-ЗНР25155ЕС30 шарико-роликовый радиальный двухрядный [45104959500110]","Насос водяной КАМАЗ Евро-3, 4 Артикул - 740.63-1307010-30 Дополнительный артикул - 740.63-1307010-30/У-079.00.000СБ, 740.63-1307010 Применение: Применяется в системе охлаждения двигателя на автомобилях КАМАЗ. Вес, кг - 2.25",2350,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
